Country,Currency,Economic Indicators,Attribute,Value
Austria,National currency (nominal),Energy efficiency ,2013,..
Austria,National currency (nominal),Energy efficiency ,2014,..
Austria,National currency (nominal),Energy efficiency ,2015,..
Austria,National currency (nominal),Energy efficiency ,2016,..
Austria,National currency (nominal),Energy efficiency ,2017,..
Austria,National currency (nominal),Energy efficiency ,2018,..
Austria,National currency (nominal),Energy efficiency ,2019,..
Austria,National currency (nominal),Energy efficiency ,2020 Estimated,..
Austria,National currency (nominal),Fossil fuels,2013,..
Austria,National currency (nominal),Fossil fuels,2014,..
Austria,National currency (nominal),Fossil fuels,2015,..
Austria,National currency (nominal),Fossil fuels,2016,..
Austria,National currency (nominal),Fossil fuels,2017,..
Austria,National currency (nominal),Fossil fuels,2018,..
Austria,National currency (nominal),Fossil fuels,2019,..
Austria,National currency (nominal),Fossil fuels,2020 Estimated,..
Austria,National currency (nominal),Renewables,2013,..
Austria,National currency (nominal),Renewables,2014,..
Austria,National currency (nominal),Renewables,2015,..
Austria,National currency (nominal),Renewables,2016,..
Austria,National currency (nominal),Renewables,2017,..
Austria,National currency (nominal),Renewables,2018,..
Austria,National currency (nominal),Renewables,2019,..
Austria,National currency (nominal),Renewables,2020 Estimated,..
Austria,National currency (nominal),Nuclear ,2013,..
Austria,National currency (nominal),Nuclear ,2014,..
Austria,National currency (nominal),Nuclear ,2015,..
Austria,National currency (nominal),Nuclear ,2016,..
Austria,National currency (nominal),Nuclear ,2017,..
Austria,National currency (nominal),Nuclear ,2018,..
Austria,National currency (nominal),Nuclear ,2019,..
Austria,National currency (nominal),Nuclear ,2020 Estimated,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2013,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2014,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2015,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2016,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2017,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2018,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2019,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2020 Estimated,..
Austria,National currency (nominal),Other power and storage technologies,2013,..
Austria,National currency (nominal),Other power and storage technologies,2014,..
Austria,National currency (nominal),Other power and storage technologies,2015,..
Austria,National currency (nominal),Other power and storage technologies,2016,..
Austria,National currency (nominal),Other power and storage technologies,2017,..
Austria,National currency (nominal),Other power and storage technologies,2018,..
Austria,National currency (nominal),Other power and storage technologies,2019,..
Austria,National currency (nominal),Other power and storage technologies,2020 Estimated,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2013,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2014,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2015,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2016,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2017,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2018,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2019,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2020 Estimated,..
Austria,National currency (nominal),Unallocated ,2013,..
Austria,National currency (nominal),Unallocated ,2014,..
Austria,National currency (nominal),Unallocated ,2015,485
Austria,National currency (nominal),Unallocated ,2016,..
Austria,National currency (nominal),Unallocated ,2017,681
Austria,National currency (nominal),Unallocated ,2018,..
Austria,National currency (nominal),Unallocated ,2019,..
Austria,National currency (nominal),Unallocated ,2020 Estimated,..
Austria,National currency (nominal),Total Budget,2013,..
Austria,National currency (nominal),Total Budget,2014,..
Austria,National currency (nominal),Total Budget,2015,485
Austria,National currency (nominal),Total Budget,2016,..
Austria,National currency (nominal),Total Budget,2017,681
Austria,National currency (nominal),Total Budget,2018,..
Austria,National currency (nominal),Total Budget,2019,..
Austria,National currency (nominal),Total Budget,2020 Estimated,..
Austria,National Currency (2020 prices),Energy efficiency ,2013,..
Austria,National Currency (2020 prices),Energy efficiency ,2014,..
Austria,National Currency (2020 prices),Energy efficiency ,2015,..
Austria,National Currency (2020 prices),Energy efficiency ,2016,..
Austria,National Currency (2020 prices),Energy efficiency ,2017,..
Austria,National Currency (2020 prices),Energy efficiency ,2018,..
Austria,National Currency (2020 prices),Energy efficiency ,2019,..
Austria,National Currency (2020 prices),Energy efficiency ,2020 Estimated,..
Austria,National Currency (2020 prices),Fossil fuels,2013,..
Austria,National Currency (2020 prices),Fossil fuels,2014,..
Austria,National Currency (2020 prices),Fossil fuels,2015,..
Austria,National Currency (2020 prices),Fossil fuels,2016,..
Austria,National Currency (2020 prices),Fossil fuels,2017,..
Austria,National Currency (2020 prices),Fossil fuels,2018,..
Austria,National Currency (2020 prices),Fossil fuels,2019,..
Austria,National Currency (2020 prices),Fossil fuels,2020 Estimated,..
Austria,National Currency (2020 prices),Renewables,2013,..
Austria,National Currency (2020 prices),Renewables,2014,..
Austria,National Currency (2020 prices),Renewables,2015,..
Austria,National Currency (2020 prices),Renewables,2016,..
Austria,National Currency (2020 prices),Renewables,2017,..
Austria,National Currency (2020 prices),Renewables,2018,..
Austria,National Currency (2020 prices),Renewables,2019,..
Austria,National Currency (2020 prices),Renewables,2020 Estimated,..
Austria,National Currency (2020 prices),Nuclear ,2013,..
Austria,National Currency (2020 prices),Nuclear ,2014,..
Austria,National Currency (2020 prices),Nuclear ,2015,..
Austria,National Currency (2020 prices),Nuclear ,2016,..
Austria,National Currency (2020 prices),Nuclear ,2017,..
Austria,National Currency (2020 prices),Nuclear ,2018,..
Austria,National Currency (2020 prices),Nuclear ,2019,..
Austria,National Currency (2020 prices),Nuclear ,2020 Estimated,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2013,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2014,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2015,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2016,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2017,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2018,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2019,..
Austria,National Currency (2020 prices),Hydrogen and fuel cells ,2020 Estimated,..
Austria,National Currency (2020 prices),Other power and storage technologies,2013,..
Austria,National Currency (2020 prices),Other power and storage technologies,2014,..
Austria,National Currency (2020 prices),Other power and storage technologies,2015,..
Austria,National Currency (2020 prices),Other power and storage technologies,2016,..
Austria,National Currency (2020 prices),Other power and storage technologies,2017,..
Austria,National Currency (2020 prices),Other power and storage technologies,2018,..
Austria,National Currency (2020 prices),Other power and storage technologies,2019,..
Austria,National Currency (2020 prices),Other power and storage technologies,2020 Estimated,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2013,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2014,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2015,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2016,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2017,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2018,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2019,..
Austria,National Currency (2020 prices),Other cross-cutting technologies/research ,2020 Estimated,..
Austria,National Currency (2020 prices),Unallocated ,2013,..
Austria,National Currency (2020 prices),Unallocated ,2014,..
Austria,National Currency (2020 prices),Unallocated ,2015,521.375
Austria,National Currency (2020 prices),Unallocated ,2016,..
Austria,National Currency (2020 prices),Unallocated ,2017,712.829
Austria,National Currency (2020 prices),Unallocated ,2018,..
Austria,National Currency (2020 prices),Unallocated ,2019,..
Austria,National Currency (2020 prices),Unallocated ,2020 Estimated,..
Austria,National Currency (2020 prices),Total Budget,2013,..
Austria,National Currency (2020 prices),Total Budget,2014,..
Austria,National Currency (2020 prices),Total Budget,2015,521.375
Austria,National Currency (2020 prices),Total Budget,2016,..
Austria,National Currency (2020 prices),Total Budget,2017,712.829
Austria,National Currency (2020 prices),Total Budget,2018,..
Austria,National Currency (2020 prices),Total Budget,2019,..
Austria,National Currency (2020 prices),Total Budget,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2013,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2014,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2015,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2016,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2017,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2018,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2019,..
Austria,USD (2020 prices and exchange rates),Energy efficiency,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2013,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2014,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2015,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2016,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2017,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2018,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2019,..
Austria,USD (2020 prices and exchange rates),Fossil fuels ,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Renewables ,2013,..
Austria,USD (2020 prices and exchange rates),Renewables ,2014,..
Austria,USD (2020 prices and exchange rates),Renewables ,2015,..
Austria,USD (2020 prices and exchange rates),Renewables ,2016,..
Austria,USD (2020 prices and exchange rates),Renewables ,2017,..
Austria,USD (2020 prices and exchange rates),Renewables ,2018,..
Austria,USD (2020 prices and exchange rates),Renewables ,2019,..
Austria,USD (2020 prices and exchange rates),Renewables ,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Nuclear,2013,..
Austria,USD (2020 prices and exchange rates),Nuclear,2014,..
Austria,USD (2020 prices and exchange rates),Nuclear,2015,..
Austria,USD (2020 prices and exchange rates),Nuclear,2016,..
Austria,USD (2020 prices and exchange rates),Nuclear,2017,..
Austria,USD (2020 prices and exchange rates),Nuclear,2018,..
Austria,USD (2020 prices and exchange rates),Nuclear,2019,..
Austria,USD (2020 prices and exchange rates),Nuclear,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2013,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2014,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2015,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2016,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2017,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2018,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2019,..
Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2013,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2014,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2015,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2016,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2017,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2018,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2019,..
Austria,USD (2020 prices and exchange rates),Other power and storage technologies ,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2013,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2014,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2015,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2016,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2017,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2018,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2019,..
Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Unallocated,2013,..
Austria,USD (2020 prices and exchange rates),Unallocated,2014,..
Austria,USD (2020 prices and exchange rates),Unallocated,2015,593.821
Austria,USD (2020 prices and exchange rates),Unallocated,2016,..
Austria,USD (2020 prices and exchange rates),Unallocated,2017,811.878
Austria,USD (2020 prices and exchange rates),Unallocated,2018,..
Austria,USD (2020 prices and exchange rates),Unallocated,2019,..
Austria,USD (2020 prices and exchange rates),Unallocated,2020 Estimated,..
Austria,USD (2020 prices and exchange rates),Total Budget ,2013,..
Austria,USD (2020 prices and exchange rates),Total Budget ,2014,..
Austria,USD (2020 prices and exchange rates),Total Budget ,2015,593.821
Austria,USD (2020 prices and exchange rates),Total Budget ,2016,..
Austria,USD (2020 prices and exchange rates),Total Budget ,2017,811.878
Austria,USD (2020 prices and exchange rates),Total Budget ,2018,..
Austria,USD (2020 prices and exchange rates),Total Budget ,2019,..
Austria,USD (2020 prices and exchange rates),Total Budget ,2020 Estimated,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2013,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2014,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2015,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2016,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2017,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2018,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2019,..
Austria,USD (2020 prices and PPP),Energy efficiency ,2020 Estimated,..
Austria,USD (2020 prices and PPP),Fossil fuels,2013,..
Austria,USD (2020 prices and PPP),Fossil fuels,2014,..
Austria,USD (2020 prices and PPP),Fossil fuels,2015,..
Austria,USD (2020 prices and PPP),Fossil fuels,2016,..
Austria,USD (2020 prices and PPP),Fossil fuels,2017,..
Austria,USD (2020 prices and PPP),Fossil fuels,2018,..
Austria,USD (2020 prices and PPP),Fossil fuels,2019,..
Austria,USD (2020 prices and PPP),Fossil fuels,2020 Estimated,..
Austria,USD (2020 prices and PPP),Renewables,2013,..
Austria,USD (2020 prices and PPP),Renewables,2014,..
Austria,USD (2020 prices and PPP),Renewables,2015,..
Austria,USD (2020 prices and PPP),Renewables,2016,..
Austria,USD (2020 prices and PPP),Renewables,2017,..
Austria,USD (2020 prices and PPP),Renewables,2018,..
Austria,USD (2020 prices and PPP),Renewables,2019,..
Austria,USD (2020 prices and PPP),Renewables,2020 Estimated,..
Austria,USD (2020 prices and PPP),Nuclear ,2013,..
Austria,USD (2020 prices and PPP),Nuclear ,2014,..
Austria,USD (2020 prices and PPP),Nuclear ,2015,..
Austria,USD (2020 prices and PPP),Nuclear ,2016,..
Austria,USD (2020 prices and PPP),Nuclear ,2017,..
Austria,USD (2020 prices and PPP),Nuclear ,2018,..
Austria,USD (2020 prices and PPP),Nuclear ,2019,..
Austria,USD (2020 prices and PPP),Nuclear ,2020 Estimated,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2013,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2014,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2015,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2016,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2017,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2018,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2019,..
Austria,USD (2020 prices and PPP),Hydrogen and fuel cells ,2020 Estimated,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2013,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2014,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2015,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2016,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2017,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2018,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2019,..
Austria,USD (2020 prices and PPP),Other power and storage technologies,2020 Estimated,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2013,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2014,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2015,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2016,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2017,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2018,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2019,..
Austria,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2020 Estimated,..
Austria,USD (2020 prices and PPP),Unallocated ,2013,..
Austria,USD (2020 prices and PPP),Unallocated ,2014,..
Austria,USD (2020 prices and PPP),Unallocated ,2015,686.02
Austria,USD (2020 prices and PPP),Unallocated ,2016,..
Austria,USD (2020 prices and PPP),Unallocated ,2017,937.933
Austria,USD (2020 prices and PPP),Unallocated ,2018,..
Austria,USD (2020 prices and PPP),Unallocated ,2019,..
Austria,USD (2020 prices and PPP),Unallocated ,2020 Estimated,..
Austria,USD (2020 prices and PPP),Total Budget,2013,..
Austria,USD (2020 prices and PPP),Total Budget,2014,..
Austria,USD (2020 prices and PPP),Total Budget,2015,686.02
Austria,USD (2020 prices and PPP),Total Budget,2016,..
Austria,USD (2020 prices and PPP),Total Budget,2017,937.933
Austria,USD (2020 prices and PPP),Total Budget,2018,..
Austria,USD (2020 prices and PPP),Total Budget,2019,..
Austria,USD (2020 prices and PPP),Total Budget,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2013,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2014,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2015,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2016,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2017,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2018,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2019,..
Austria,Euro (2020 prices and exchange rates),Energy efficiency ,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2013,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2014,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2015,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2016,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2017,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2018,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2019,..
Austria,Euro (2020 prices and exchange rates),Fossil fuels,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Renewables,2013,..
Austria,Euro (2020 prices and exchange rates),Renewables,2014,..
Austria,Euro (2020 prices and exchange rates),Renewables,2015,..
Austria,Euro (2020 prices and exchange rates),Renewables,2016,..
Austria,Euro (2020 prices and exchange rates),Renewables,2017,..
Austria,Euro (2020 prices and exchange rates),Renewables,2018,..
Austria,Euro (2020 prices and exchange rates),Renewables,2019,..
Austria,Euro (2020 prices and exchange rates),Renewables,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2013,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2014,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2015,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2016,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2017,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2018,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2019,..
Austria,Euro (2020 prices and exchange rates),Nuclear ,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2013,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2014,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2015,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2016,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2017,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2018,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2019,..
Austria,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2013,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2014,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2015,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2016,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2017,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2018,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2019,..
Austria,Euro (2020 prices and exchange rates),Other power and storage technologies,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2013,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2014,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2015,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2016,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2017,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2018,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2019,..
Austria,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Unallocated ,2013,..
Austria,Euro (2020 prices and exchange rates),Unallocated ,2014,..
Austria,Euro (2020 prices and exchange rates),Unallocated ,2015,521.375
Austria,Euro (2020 prices and exchange rates),Unallocated ,2016,..
Austria,Euro (2020 prices and exchange rates),Unallocated ,2017,712.829
Austria,Euro (2020 prices and exchange rates),Unallocated ,2018,..
Austria,Euro (2020 prices and exchange rates),Unallocated ,2019,..
Austria,Euro (2020 prices and exchange rates),Unallocated ,2020 Estimated,..
Austria,Euro (2020 prices and exchange rates),Total Budget,2013,..
Austria,Euro (2020 prices and exchange rates),Total Budget,2014,..
Austria,Euro (2020 prices and exchange rates),Total Budget,2015,521.375
Austria,Euro (2020 prices and exchange rates),Total Budget,2016,..
Austria,Euro (2020 prices and exchange rates),Total Budget,2017,712.829
Austria,Euro (2020 prices and exchange rates),Total Budget,2018,..
Austria,Euro (2020 prices and exchange rates),Total Budget,2019,..
Austria,Euro (2020 prices and exchange rates),Total Budget,2020 Estimated,..
Czech Republic,National currency (nominal),Energy efficiency,2013,..
Czech Republic,National currency (nominal),Energy efficiency,2014,..
Czech Republic,National currency (nominal),Energy efficiency,2015,116.529
Czech Republic,National currency (nominal),Energy efficiency,2016,82.026
Czech Republic,National currency (nominal),Energy efficiency,2017,143.746
Czech Republic,National currency (nominal),Energy efficiency,2018,181.168
Czech Republic,National currency (nominal),Energy efficiency,2019,241.893
Czech Republic,National currency (nominal),Energy efficiency,2020 Estimated,265.464
Czech Republic,National currency (nominal),Fossil fuels ,2013,..
Czech Republic,National currency (nominal),Fossil fuels ,2014,..
Czech Republic,National currency (nominal),Fossil fuels ,2015,86.286
Czech Republic,National currency (nominal),Fossil fuels ,2016,78.057
Czech Republic,National currency (nominal),Fossil fuels ,2017,81.681
Czech Republic,National currency (nominal),Fossil fuels ,2018,76.776
Czech Republic,National currency (nominal),Fossil fuels ,2019,73.757
Czech Republic,National currency (nominal),Fossil fuels ,2020 Estimated,37.784
Czech Republic,National currency (nominal),Renewables ,2013,..
Czech Republic,National currency (nominal),Renewables ,2014,..
Czech Republic,National currency (nominal),Renewables ,2015,105.379
Czech Republic,National currency (nominal),Renewables ,2016,84.142
Czech Republic,National currency (nominal),Renewables ,2017,86.715
Czech Republic,National currency (nominal),Renewables ,2018,84.128
Czech Republic,National currency (nominal),Renewables ,2019,99.78
Czech Republic,National currency (nominal),Renewables ,2020 Estimated,125.306
Czech Republic,National currency (nominal),Nuclear,2013,..
Czech Republic,National currency (nominal),Nuclear,2014,..
Czech Republic,National currency (nominal),Nuclear,2015,385.995
Czech Republic,National currency (nominal),Nuclear,2016,128.061
Czech Republic,National currency (nominal),Nuclear,2017,217.913
Czech Republic,National currency (nominal),Nuclear,2018,225.485
Czech Republic,National currency (nominal),Nuclear,2019,251.901
Czech Republic,National currency (nominal),Nuclear,2020 Estimated,250.512
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2013,..
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2014,..
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2015,6.313
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2016,21.184
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2017,31.781
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2018,21.922
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2019,165.909
Czech Republic,National currency (nominal),Hydrogen and fuel cells,2020 Estimated,80.436
Czech Republic,National currency (nominal),Other power and storage technologies ,2013,..
Czech Republic,National currency (nominal),Other power and storage technologies ,2014,..
Czech Republic,National currency (nominal),Other power and storage technologies ,2015,97.789
Czech Republic,National currency (nominal),Other power and storage technologies ,2016,76.942
Czech Republic,National currency (nominal),Other power and storage technologies ,2017,74.974
Czech Republic,National currency (nominal),Other power and storage technologies ,2018,90.744
Czech Republic,National currency (nominal),Other power and storage technologies ,2019,157.216
Czech Republic,National currency (nominal),Other power and storage technologies ,2020 Estimated,156.737
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2013,..
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2014,..
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2015,107.428
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2016,53.316
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2017,52.287
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2018,55.325
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2019,65.128
Czech Republic,National currency (nominal),Other cross-cutting technologies/research,2020 Estimated,74.961
Czech Republic,National currency (nominal),Unallocated,2013,..
Czech Republic,National currency (nominal),Unallocated,2014,..
Czech Republic,National currency (nominal),Unallocated,2015,0
Czech Republic,National currency (nominal),Unallocated,2016,0
Czech Republic,National currency (nominal),Unallocated,2017,0
Czech Republic,National currency (nominal),Unallocated,2018,0
Czech Republic,National currency (nominal),Unallocated,2019,0
Czech Republic,National currency (nominal),Unallocated,2020 Estimated,0
Czech Republic,National currency (nominal),Total Budget ,2013,..
Czech Republic,National currency (nominal),Total Budget ,2014,..
Czech Republic,National currency (nominal),Total Budget ,2015,905.719
Czech Republic,National currency (nominal),Total Budget ,2016,523.728
Czech Republic,National currency (nominal),Total Budget ,2017,689.097
Czech Republic,National currency (nominal),Total Budget ,2018,735.548
Czech Republic,National currency (nominal),Total Budget ,2019,1055.584
Czech Republic,National currency (nominal),Total Budget ,2020 Estimated,991.2
Czech Republic,National Currency (2020 prices),Energy efficiency,2013,..
Czech Republic,National Currency (2020 prices),Energy efficiency,2014,..
Czech Republic,National Currency (2020 prices),Energy efficiency,2015,132.493
Czech Republic,National Currency (2020 prices),Energy efficiency,2016,92.249
Czech Republic,National Currency (2020 prices),Energy efficiency,2017,159.453
Czech Republic,National Currency (2020 prices),Energy efficiency,2018,195.992
Czech Republic,National Currency (2020 prices),Energy efficiency,2019,251.861
Czech Republic,National Currency (2020 prices),Energy efficiency,2020 Estimated,265.464
Czech Republic,National Currency (2020 prices),Fossil fuels ,2013,..
Czech Republic,National Currency (2020 prices),Fossil fuels ,2014,..
Czech Republic,National Currency (2020 prices),Fossil fuels ,2015,98.107
Czech Republic,National Currency (2020 prices),Fossil fuels ,2016,87.785
Czech Republic,National Currency (2020 prices),Fossil fuels ,2017,90.606
Czech Republic,National Currency (2020 prices),Fossil fuels ,2018,83.058
